states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population,,,,,,,,,
GJ,Chhota Udaipur,,,,,4,818,,,,,,,,,,,,,699,19920,,,,,02/02/2021,,,1071831,3395,38,3357,93838,635695,420157,0,,,,,,,,,
GJ,Dahod,,,,,8,1930,,,,,,,,,,,,,626,53547,,,,,02/02/2021,,,2126558,9955,38,9917,218259,1499052,631818,0,,,,,,,,,
GJ,Dang,,,,,2,1,,2,,,,,,2,,,,,4140,3726,,,,,02/02/2021,,,226769,866,18,848,31921,156334,59262,2,,,,,,,,,
GJ,Devbhumi Dwarka,,,,,315,373,,,,,,,,,,,,,4666,24924,,,,,02/02/2021,,,752484,4175,82,4093,80424,504501,309771,0,,,,,,,,,
GJ,Gandhinagar,,,,,69,367,,1,,,,,,1,,,,,5475,36333,,,,,02/02/2021,,,1387478,20754,205,20549,292598,1175562,706208,1,,,,,,,,,
GJ,Gir Somnath,,,,,912,15,,3,,,,,,3,2,,2,,8524,15341,2,,,,02/02/2021,,,1217477,8570,67,8499,121948,845224,363467,5,,,,,,,,,
GJ,Jamnagar,,,1,,367,1366,,1,,,,,,1,5,,3,,9406,37158,5,,,,02/02/2021,,,2159130,34978,478,34494,307911,1111813,653950,6,,,,,,,,,
GJ,Junagadh,2,,,,62,1232,2,13,,,,,,13,6,,2,,2660,71531,6,,,,02/02/2021,,,2742291,20505,272,20226,199699,1316479,733025,21,,,,,,,,,
GJ,Kheda,,,,,124,2105,,3,,,,,,3,,,1,,11668,73838,,,,,02/02/2021,,,2298934,10439,48,10391,218140,1454344,893742,3,,,,,,,,,
GJ,Kutch,,,,,15,351,,4,,,,,,4,5,,1,,8920,49662,5,,,,02/02/2021,,,2090313,12631,145,12474,267060,1412923,680232,9,,,,,,,,,
GJ,Mahisagar,,,,,1,929,,,,,,,,,,,,,62,16517,,,,,02/02/2021,,,994624,8194,72,8122,122796,815594,459520,0,,,,,,,,,
GJ,Mehsana,,,,,71,723,,,,,,,,,,,1,,7523,48550,,,,,02/02/2021,,,2027727,24419,177,24242,229904,1405786,869969,0,,,,,,,,,
GJ,Morbi,,,,,31,118,,,,,,,,,,,,,9950,20297,,,,,02/02/2021,,,960329,6502,87,6415,157321,674000,308840,0,,,,,,,,,
GJ,Narmada,,,,,2,12,,2,,,,,,2,,,2,,546,13890,,,,,02/02/2021,,,590379,5955,15,5940,76134,413260,279684,2,,,,,,,,,
GJ,Navsari,,,1,,62,2009,,11,,,,,,11,5,,13,,1852,29095,5,,,,02/02/2021,,,1330711,7215,24,7181,129099,948673,647484,16,,,,,,,,,
GJ,Panchmahal,,,,,80,1246,,,,,,,,,,,,,7294,44832,,,,,02/02/2021,,,2388267,11770,70,11700,160981,1105110,626003,0,,,,,,,,,
GJ,Patan,,,,,20,259,,,,,,,,,,,,,3369,37745,,,,,02/02/2021,,,1342746,11624,129,11495,169059,850462,533438,0,,,,,,,,,
GJ,Porbandar,,,,,48,1062,,,,,,,,,,,,,1140,13063,,,,,02/02/2021,,,586062,3486,19,3467,97912,419364,256377,0,,,,,,,,,
GJ,Rajkot,,,7,,43,153,,2,,,,,,2,7,,7,,17510,53546,7,,,,02/02/2021,,,3157676,57976,725,57243,731251,2227111,1255012,9,,,,,,,,,
GJ,Sabarkantha,,,,,66,1181,,,,,,,,,1,,,,4232,45789,1,,,,02/02/2021,,,2427346,9317,157,9159,182090,1000517,596705,1,,,,,,,,,
GJ,Surat,4,,4,,2525,7090,4,38,,,,,,38,38,1,30,,35083,115694,38,,,,02/02/2021,,,4996391,143874,1956,141885,1938229,4781894,2529712,80,,,,,,,,,
GJ,Surendranagar,,,,,51,647,,,,,,,,,,,,,18641,79795,,,,,02/02/2021,,,1755873,8121,136,7985,201153,1113845,715931,0,,,,,,,,,
GJ,Tapi,,,,,14,111,,1,,,,,,1,,,,,3010,23409,,,,,02/02/2021,,,806489,4441,24,4417,92524,527345,303297,1,,,,,,,,,
GJ,Vadodara,6,,2,,437,12194,6,16,,,,,,16,36,,14,,16527,182027,36,,,,02/02/2021,,,3639775,78159,788,77335,695670,2612578,1940514,58,,,,,,,,,
GJ,Valsad,3,,6,,84,46,3,28,,,,,,28,25,1,25,,6616,36430,25,,,,02/02/2021,,,1703068,6405,53,6308,155380,1232139,704675,56,,,,,,,,,
HP,Kullu,,,3,,,,,17,,,,,,17,19,,18,,889,9323,19,,,,29-09-2020,,,437474,9692,158,9496,12012,351261,203549,36,,,,,,,,,
HP,Lahaul and Spiti,,,,,,,,1,,,,,,1,,,,,30,412,,,,,31-10-2020,,,31528,2953,18,2935,540,31920,20986,1,,,,,,,,,
HP,Bilaspur,11,,12,,6,329,11,78,,,,,,78,133,,77,,695,15071,133,,,,19-12-2020,,,382056,14374,85,14120,39738,323204,234916,222,,,,,,,,,
HP,Chamba,,,2,,146,1749,,8,,,,,,8,27,,13,,1439,18796,27,,,,19-12-2020,,,518844,13687,160,13492,53505,364258,198146,35,,,,,,,,,
HP,Hamirpur,11,,50,,,32,11,177,,,,,,177,288,4,228,,713,26076,288,,,,19-12-2020,,,454293,17379,287,16741,46407,377332,269143,476,,,,,,,,,
HP,Kangra,40,1,108,,2,23,40,310,,,,,,310,657,10,454,,2399,39940,657,,,,19-12-2020,,,1507223,50818,1125,48872,94910,1182563,725754,1007,,,,,,,,,
HP,Kinnaur,,,1,,,,,4,,,,,,4,2,,6,,95,517,2,,,,19-12-2020,,,84298,3507,38,3465,6730,79673,63209,6,,,,,,,,,
HP,Mandi,4,,5,,99,2275,4,165,,,,,,165,140,3,141,,1156,26214,140,,,,19-12-2020,,,999518,31606,448,30983,41895,775242,479355,309,,,,,,,,,
HP,Shimla,4,,9,,20,1688,4,72,,,,,,72,100,3,66,,2224,37351,100,,,,19-12-2020,,,813384,27549,641,26786,32922,678341,412640,176,,,,,,,,,
HP,Sirmaur,,,,,52,1185,,,,,,,,,1,,,,1388,22247,1,,,,19-12-2020,,,530164,15456,211,15244,42564,423793,209631,1,,,,,,,,,
HP,Solan,4,,2,,33,493,4,25,,,,,,25,25,,27,,1393,21242,25,,,,19-12-2020,,,576670,22817,314,22472,57200,691163,339630,54,,,,,,,,,
HP,Una,11,,6,,24,396,11,101,,,,,,101,145,,124,,824,16782,145,,,,19-12-2020,,,521057,14268,253,13804,52905,434945,286819,257,,,,,,,,,
HR,Jind,,,,,490,567,,,,,,,,,1,,,,13366,21662,1,,,,13-07-2020,,,1332042,21209,533,20675,11157,704573,250859,1,,,,,,,,,
HR,Kaithal,,,,,69,149,,2,,,,,,2,,,2,,4183,11836,,,,,13-07-2020,,,1072861,11244,346,10898,11687,615168,217439,2,,,,,,,,,
HR,Rohtak,,,,,311,953,,4,,,,,,4,,,1,,11409,17219,,,,,13-07-2020,,,1058683,25903,534,25350,25894,674649,305282,4,,,,,,,,,
HR,Fatehabad,,,,,30,37,,1,,,,,,1,,,,,1800,7458,,,,,29-08-2020,,,941522,17875,481,17394,27456,574546,201763,1,,,,,,,,,
HR,Panipat,1,,,,375,1054,1,,,,,,,,1,,,,7950,12888,1,,,,10/06/2020,,,1202811,31150,638,30510,58863,830805,273172,2,,,,,,,,,
HR,Charkhi Dadri,,,,,2,35,,,,,,,,,,,2,,941,11884,,,,,28-10-2020,,,502276,5078,139,4939,58525,364599,262184,0,,,,,,,,,
HR,Nuh,,,,,2433,583,,,,,,,,,,,,,10812,3789,,,,,11/01/2020,,,1089406,5014,123,4890,93389,354422,78081,0,,,,,,,,,
HR,Jhajjar,,,,,569,996,,,,,,,,,1,,,,8229,19599,1,,,,30-11-2020,,,956907,18849,328,18514,186853,684511,293496,1,,,,,,,,,
HR,Panchkula,1,,2,,127,1033,1,7,,,,,,7,10,,12,,1786,10743,10,,,,12/05/2020,,,558890,30770,378,30379,118725,456675,279951,18,,,,,,,,,
HR,Sirsa,,,,,47,92,,3,,,,,,3,3,,2,,4263,8228,3,,,,12/06/2020,,,1295114,29282,508,28771,150193,786205,278920,6,,,,,,,,,
HR,Sonipat,,,,,785,2190,,1,,,,,,1,,,1,,9421,21065,,,,,12/06/2020,,,1480080,47138,254,46884,238963,989125,411915,1,,,,,,,,,
HR,Kurukshetra,,,,,55,199,,1,,,,,,1,1,,1,,4064,9522,1,,,,29-01-2021,,,964231,22147,357,21789,198881,610380,248125,2,,,,,,,,,
HR,Ambala,,,,,100,587,,2,,,,,,2,2,,1,,3021,25458,2,,,,30-01-2021,,,1136784,30150,509,29639,206003,873020,571772,4,,,,,,,,,
HR,Bhiwani,,,,,578,2454,,,,,,,,,,,,,6166,25664,,,,,30-01-2021,,,1629109,22409,652,21757,176225,741251,317765,0,,,,,,,,,
HR,Faridabad,1,,,,818,1577,1,8,,,,,,8,18,,7,,17515,30156,18,,,,30-01-2021,,,1798954,99902,716,99157,504970,1658940,840997,27,,,,,,,,,
HR,Gurugram,7,,8,,264,1637,7,47,,,,,,47,55,,48,,20221,48107,55,,,,30-01-2021,,,1514085,181428,922,180454,742619,2193114,1377160,109,,,,,,,,,
HR,Hisar,,,,,58,111,,,,,,,,,2,,,,5821,12364,2,,,,30-01-2021,,,1742815,53995,1136,52857,322039,994213,332162,2,,,,,,,,,
HR,Karnal,1,,,,617,217,1,2,,,,,,2,1,,,,8109,23328,1,,,,30-01-2021,,,1506323,40037,552,39484,185147,1000120,451876,4,,,,,,,,,
HR,Mahendragarh,,,,,205,529,,,,,,,,,,,,,4857,10632,,,,,30-01-2021,,,921680,21689,155,21534,143253,576527,264911,0,,,,,,,,,
HR,Palwal,,,,,358,259,,1,,,,,,1,,,,,7558,9496,,,,,30-01-2021,,,1040493,11025,153,10872,139809,608874,221786,1,,,,,,,,,
HR,Rewari,,,,,83,353,,2,,,,,,2,,,4,,2550,9877,,,,,30-01-2021,,,896129,20327,221,20106,151363,648724,294989,2,,,,,,,,,
HR,Yamunanagar,,,,,102,185,,2,,,,,,2,,,6,,6471,16554,,,,,30-01-2021,,,1214162,24631,414,24215,196131,831598,340196,2,,,,,,,,,
JH,Jamtara,,,,,973,1373,,1,,,,,,1,4,1,3,,9614,12331,4,,,,21-07-2020,,,790207,5599,61,5534,2880,381155,137216,5,,,,,,,,,
JH,Bokaro,,,,,3236,4363,,5,,,,,,5,15,,13,,27554,34375,15,,,,21-07-2020,,,2061918,19461,286,19170,11798,994497,333330,20,,,,,,,,,
JH,Deoghar,,,,,985,2299,,,,,,,,,2,,1,,9801,19008,2,,,,21-07-2020,,,1491879,10835,113,10721,6951,569167,230458,2,,,,,,,,,
JH,Dumka,,,1,,1460,2659,,,,,,,,,2,,2,,12679,22872,2,,,,21-07-2020,,,1321096,4636,47,4589,5400,638722,229944,2,,,,,,,,,
JH,Giridih,,,,,2411,3577,,,,,,,,,,,,,16994,29823,,,,,21-07-2020,,,2445203,8964,130,8834,11132,994417,301193,0,,,,,,,,,
JH,Godda,,,,,906,1883,,,,,,,,,1,,1,,7385,16537,1,,,,21-07-2020,,,1311382,5840,87,5753,10980,527710,198198,1,,,,,,,,,
JH,Pakur,,,,,3009,2636,,1,,,,,,1,,,,,9945,9107,,,,,21-07-2020,,,899200,2552,12,2539,6429,378048,108941,1,,,,,,,,,
JH,Sahibganj,,,,,1336,947,,,,,,,,,,,,,10449,13687,,,,,21-07-2020,,,1150038,4834,42,4792,5029,430948,132560,0,,,,,,,,,
JH,Lohardaga,,,,,188,166,,,,,,,,,,,2,,3444,3563,,,,,21-07-2020,,,461738,6709,88,6621,7526,173109,63130,0,,,,,,,,,
JH,Khunti,,,,,354,367,,2,,,,,,2,,,,,3335,3834,,,,,21-07-2020,,,530299,7820,96,7724,3852,227503,107053,2,,,,,,,,,
JH,Saraikela-Kharsawan,,,,,682,490,,,,,,,,,,,,,11215,12399,,,,,21-07-2020,,,1063458,7207,67,7137,161796,505417,167980,0,,,,,,,,,
JH,Chatra,,,,,909,1813,,,,,,,,,,,,,5946,11402,,,,,21-07-2020,,,1042304,6033,53,5977,,454807,126700,0,,,,,,,,,
JH,Dhanbad,,,1,,2811,3597,,1,,,,,,1,24,,13,,33374,34095,24,,,,21-07-2020,,,2682662,16589,382,16196,,1185934,446946,25,,,,,,,,,
JH,East Singhbhum,,,3,,1925,4669,,11,,,,,,11,47,2,42,,11994,29238,47,,,,21-07-2020,,,2291032,51974,1046,50907,,1424376,661091,58,,,,,,,,,
JH,Garhwa,,,1,,4770,3027,,1,,,,,,1,6,,7,,17210,15386,6,,,,21-07-2020,,,1322387,6895,94,6801,,456056,148421,7,,,,,,,,,
JH,Gumla,,,,,465,744,,,,,,,,,5,,,,4900,8696,5,,,,21-07-2020,,,1025656,9900,38,9857,,387738,156364,5,,,,,,,,,
JH,Hazaribagh,,,,,678,1243,,,,,,,,,3,,3,,11940,21857,3,,,,21-07-2020,,,1734005,19593,186,19404,,865943,317137,3,,,,,,,,,
JH,Koderma,,,,,45,235,,,,,,,,,,,,,3393,11488,,,,,21-07-2020,,,717169,12872,136,12736,,363078,140609,0,,,,,,,,,
JH,Latehar,,,,,1158,773,,,,,,,,,,,,,9565,7719,,,,,21-07-2020,,,725673,7871,57,7814,,294989,84919,0,,,,,,,,,
JH,Palamu,,,,,5270,6713,,,,,,,,,,,,,21657,37375,,,,,21-07-2020,,,1936319,12294,110,12184,,788026,311074,0,,,,,,,,,
JH,Ramgarh,,,,,645,944,,1,,,,,,1,7,,,,5306,10927,7,,,,21-07-2020,,,949159,13923,197,13714,,522017,185442,8,,,,,,,,,
JH,Ranchi,10,,2,,4743,4594,10,52,,,,,,52,182,,228,,35099,38856,182,,,,21-07-2020,,,2912022,86116,1585,84495,,1512114,656001,244,,,,,,,,,
JH,Simdega,,,,,67,189,,,,,,,,,,,,,1694,4126,,,,,21-07-2020,,,599813,7193,92,7101,,277357,112059,0,,,,,,,,,
JH,Unknown,,,,,,,,,,,,,,,-166,,-70,,,,-166,,,,21-07-2020,,,,,,,,,,-166,,,,,,,,,
JH,West Singhbhum,,,,,895,962,,3,,,,,,3,5,,5,,12587,16980,5,,,,21-07-2020,,,1501619,13054,133,12918,,630437,225607,8,,,,,,,,,
JK,Pulwama,4,,,,24,1414,4,8,,,,,,8,5,,5,,1021,16829,5,,,,01-01-2021,,,570060,15512,194,15309,139552,430622,244300,17,,,,,,,,,
JK,Anantnag,2,,2,,69,4677,2,19,,,,,,19,10,,12,,1472,30949,10,,,,05-01-2021,,,1070144,16603,205,16378,,759605,402717,31,,,,,,,,,
JK,Bandipora,1,,,,12,639,1,16,,,,,,16,13,,19,,349,6835,13,,,,09-01-2021,,,385099,9814,102,9693,,303665,154345,30,,,,,,,,,
JK,Baramulla,10,,6,,42,2327,10,57,,,,,,57,96,,64,,1665,29357,96,,,,13-01-2021,,,1015503,24613,282,24196,,776258,450002,163,,,,,,,,,
JK,Budgam,10,,10,,113,2657,10,48,,,,,,48,63,,53,,1409,22456,63,,,,17-01-2021,,,735753,23844,207,23548,,592075,319587,121,,,,,,,,,
JK,Doda,2,,,,74,1079,2,26,,,,,,26,18,,26,,1065,19212,18,,,,21-01-2021,,,409576,7869,133,7704,,313983,158751,46,,,,,,,,,
JK,Ganderbal,7,,2,,33,1116,7,10,,,,,,10,31,,12,,370,9271,31,,,,25-01-2021,,,297003,10436,79,10313,,227349,133812,48,,,,,,,,,
JK,Jammu,3,,6,,86,593,3,27,,,,,,27,20,,37,,4121,16781,20,,,,29-01-2021,,,1526406,53324,1145,52145,,1168448,610537,50,,,,,,,,,
JK,Kathua,,,,,108,2053,,1,,,,,,1,,1,5,,1867,22270,,,,,02-02-2021,,,615711,9327,152,9175,,482584,249588,1,,,,,,,,,
JK,Kishtwar,,,,,85,320,,,,,,,,,1,,,,3948,3385,1,,,,06-02-2021,,,230696,4819,44,4773,,164754,78041,1,,,,,,,,,
JK,Kulgam,1,,2,,39,1610,1,1,,,,,,1,2,,5,,632,20244,2,,,,10-02-2021,,,422786,11489,117,11367,,401091,202260,4,,,,,,,,,
JK,Kupwara,5,,4,,165,8743,5,32,,,,,,32,25,,25,,3959,42820,25,,,,14-02-2021,,,875564,14463,166,14268,,673594,348327,62,,,,,,,,,
JK,Punch,,,,,45,3190,,13,,,,,,13,7,,14,,695,27765,7,,,,18-02-2021,,,476820,6482,98,6371,,386098,234540,20,,,,,,,,,
JK,Rajouri,,,,,56,752,,8,,,,,,8,4,,7,,1247,9544,4,,,,22-02-2021,,,619266,11272,237,11031,,498787,241407,12,,,,,,,,,
JK,Ramban,1,,,,155,829,1,,,,,,,,3,,,,1498,10369,3,,,,26-02-2021,,,283313,6043,67,5971,,220690,147086,4,,,,,,,,,
JK,Reasi,,,2,,240,1808,,13,,,,,,13,4,,10,,1644,15636,4,,,,02-03-2021,,,314714,6626,43,6575,,244379,133971,17,,,,,,,,,
JK,Samba,,,,,40,468,,1,,,,,,1,,,2,,1207,6224,,,,,06-03-2021,,,318611,7152,120,7032,,280700,122554,1,,,,,,,,,
JK,Shopiyan,,,,,6,302,,,,,,,,,,,,,139,7669,,,,,10-03-2021,,,265960,5607,58,5549,,203036,95122,0,,,,,,,,,
JK,Srinagar,49,,45,,394,11547,49,247,,,,,,247,305,2,274,,2788,80075,305,,,,14-03-2021,,,1269751,75539,846,74242,,957347,592016,601,,,,,,,,,
JK,Udhampur,,,,,76,700,,2,,,,,,2,4,,2,,2420,14763,4,,,,18-03-2021,,,555357,11415,137,11275,,425945,227785,6,,,,,,,,,
KA,Chamarajanagara,,,4,,25,399,,14,,,,,,14,6,,15,,2102,36658,6,,,,22-03-2021,,,1020962,33001,500,32469,5156,647951,351940,20,,,,,,,,,
KA,Chikkaballapura,2,1,,,16,22,2,6,,,,,,6,11,3,8,,4700,19860,11,,,,26-03-2021,,,1254377,43951,429,43501,15089,852473,497674,19,,,,,,,,,
KA,Chikkamagaluru,3,,4,,14,29,3,46,,,,,,46,28,,93,,4830,13010,28,,,,28-06-2020,,,1137753,51126,395,50662,5467,737417,346002,77,,,,,,,,,
KA,Chitradurga,3,,3,,2340,1956,3,9,,,,,,9,17,,12,,45062,47252,17,,,,28-06-2020,,,1660378,36666,206,36412,4393,1020280,618156,29,,,,,,,,,
KA,Davanagere,2,,1,,16,33,2,9,,,,,,9,10,1,11,,7079,28149,10,,,,28-06-2020,,,1946905,50989,608,50359,17483,1016827,495371,21,,,,,,,,,
KA,Gadag,,,,,1176,167,,1,,,,,,1,,,,,12373,16257,,,,,28-06-2020,,,1065235,26066,319,25747,8904,691646,328477,1,,,,,,,,,
KA,Hassan,26,,28,,37,123,26,144,,,,,,144,147,5,125,,5434,26697,147,,,,28-06-2020,,,1776221,111785,1256,110294,10800,1224599,614828,317,,,,,,,,,
KA,Haveri,1,,1,,2,7,1,3,,,,,,3,1,1,2,,8794,36386,1,,,,28-06-2020,,,1598506,21947,644,21301,11714,999178,383705,5,,,,,,,,,
KA,Koppal,,,,,116,321,,2,,,,,,2,1,,5,,16045,33794,1,,,,28-06-2020,,,1391292,35198,521,34660,8708,814373,411092,3,,,,,,,,,
KA,Mandya,8,,2,,8,123,8,59,,,,,,59,48,,36,,5411,28944,48,,,,28-06-2020,,,1808680,73753,650,73029,14874,1189318,659066,115,,,,,,,,,
KA,Raichur,,,1,,151,433,,7,,,,,,7,1,,4,,19900,34897,1,,,,28-06-2020,,,1924773,39973,331,39641,21011,1021603,448501,8,,,,,,,,,
KA,Uttara Kannada,6,,4,,11,155,6,65,,,,,,65,66,,48,,3955,32067,66,,,,28-06-2020,,,1353299,56218,766,55339,13833,980496,505589,137,,,,,,,,,
KA,Vijayapura,,,,,340,583,,11,,,,,,11,2,,2,,59571,50033,2,,,,28-06-2020,,,2175102,36267,495,35764,25108,1535235,634270,13,,,,,,,,,
KA,Shivamogga,3,,,,417,957,3,38,,,,,,38,30,,66,,23220,47086,30,,,,21-08-2020,,,1755512,69444,1088,68239,48760,1162073,535447,71,,,,,,,,,
KA,Bagalkote,,,,,823,98,,1,,,,,,1,,,,,57683,22844,,,,,23-08-2020,,,1890826,35178,333,34843,49851,1188016,613422,1,,,,,,,,,
KA,Bidar,,,,,408,740,,7,,,,,,7,,,5,,13739,30558,,,,,29-08-2020,,,1700018,24340,400,23936,67689,929776,515993,7,,,,,,,,,
KA,Mysuru,33,2,34,,798,1258,33,252,,,,,,252,234,7,247,,46664,111457,234,,,,31-08-2020,,,2994744,179167,2416,176447,107338,2141764,1239770,519,,,,,,,,,
KA,Udupi,2,,6,,16,137,2,91,,,,,,91,49,,75,,2422,27889,49,,,,13-09-2020,,,1177908,76718,489,76181,86092,919074,529427,142,,,,,,,,,
KA,Dakshina Kannada,24,,20,,139,858,24,232,,,,,,232,192,9,193,,5124,38765,192,,,,17-09-2020,,,2083625,115478,1680,113515,131281,1531107,848253,448,,,,,,,,,
KA,Tumakuru,17,,12,,1842,3742,17,103,,,,,,103,136,1,112,,31038,66650,136,,,,24-09-2020,,,2681449,120836,1127,119420,106564,1672730,881580,256,,,,,,,,,
KA,Dharwad,,1,3,,459,323,,15,,,,,,15,4,3,10,,24515,35313,4,,,,13-10-2020,,,1846993,60970,1315,59639,137696,1212295,561504,19,,,,,,,,,
KA,Kolar,2,,5,,748,1088,2,38,,,,,,38,18,3,31,,13745,34211,18,,,,14-10-2020,,,1540231,46916,638,46266,91924,991957,625918,58,,,,,,,,,
KA,Ramanagara,,,,,11,61,,12,,,,,,12,8,2,10,,6303,28767,8,,,,25-11-2020,,,1082739,24204,320,23869,103399,754463,469335,20,,,,,,,,,
KA,Ballari,,,2,,2415,483,,9,,,,,,9,9,,14,,54006,84805,9,,,,28-12-2020,,,2532383,97763,1689,95961,402407,1758198,864065,18,,,,,,,,,
KA,Belagavi,6,,1,,427,825,6,31,,,,,,31,20,1,21,,39701,98350,20,,,,01/02/2021,,,4778439,79900,938,78879,396565,3165252,1386668,57,,,,,,,,,
KA,Kalaburagi,3,,,,1631,1001,3,2,,,,,,2,9,,5,,35135,44220,9,,,,30-01-2021,,,2564892,61926,819,61087,409596,1323039,641641,14,,,,,,,,,
KA,Bengaluru Rural,3,,3,,118,994,3,40,,,,,,40,23,2,27,,5196,22700,23,,,,31-01-2021,,,987257,62005,890,61073,240277,700825,385704,66,,,,,,,,,
KA,Bengaluru Urban,137,7,204,,2109,11462,137,1105,,,,,,1105,1165,37,1093,,48836,247281,1165,,,,31-01-2021,,,9588910,1251872,16281,1229059,6883888,9219875,5903791,2407,,,,,,,,,
KA,Kodagu,11,,7,,26,202,11,79,,,,,,79,112,,67,,1558,12680,112,,,,31-01-2021,,,554762,37095,329,36616,143982,385482,212033,202,,,,,,,,,
KA,Yadgir,,,,,108,62,,1,,,,,,1,,,2,,18060,15460,,,,,31-01-2021,,,1172985,27545,207,27337,221485,708887,348094,1,,,,,,,,,
KA,Other State,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2021,,,,36,3,33,,,,0,,,,,,,,,
KL,Palakkad,339,16,423,,37,397,339,3177,,,,,,3177,2560,175,2544,,8712,57261,2560,,,,19-10-2020,,,2810892,373839,2881,364351,226562,1989222,950909,6076,,,,,,,,,
KL,Thiruvananthapuram,878,1,754,,418,2986,878,7626,,,,,,7626,7056,118,4851,,9284,89297,7056,,,,23-10-2020,,,3307284,463977,4996,448304,436661,2578575,1562343,15560,,,,,,,,,
KL,Malappuram,334,48,560,,152,523,334,3497,,,,,,3497,2634,108,2929,,20840,52896,2634,,,,30-12-2020,,,4110956,567584,2576,562111,469850,2833303,1103557,6465,,,,,,,,,
KL,Idukki,550,1,195,,26,208,550,3256,,,,,,3256,2876,71,1866,,2211,27218,2876,,,,01/01/2021,,,1107453,147118,519,140292,237691,859116,481911,6682,,,,,,,,,
KL,Kannur,304,,451,,38,325,304,3456,,,,,,3456,2611,301,3143,,7636,71089,2611,,,,01/01/2021,,,2525637,275264,2325,269475,392136,1891004,959656,6371,,,,,,,,,
KL,Kozhikode,742,23,760,,55,449,742,5631,,,,,,5631,5386,513,5059,,11449,57479,5386,,,,01/01/2021,,,3089543,527346,3374,519030,955060,2341296,1154561,11759,,,,,,,,,
KL,Pathanamthitta,447,2,406,,149,1275,447,2683,,,,,,2683,2953,122,2635,,2637,29343,2953,,,,01/01/2021,,,1195537,193406,1076,184979,306034,1048352,677224,6083,,,,,,,,,
KL,Thrissur,753,59,38,,107,977,753,6874,,,,,,6874,5751,388,3647,,8853,87643,5751,,,,01/01/2021,,,3110327,523260,3575,515481,639055,2295947,1305873,13378,,,,,,,,,
KL,Wayanad,269,,329,,12,243,269,1767,,,,,,1767,1823,30,1691,,2223,32359,1823,,,,01/01/2021,,,816558,125732,518,121295,211953,659451,436359,3859,,,,,,,,,
KL,Alappuzha,270,1,455,,65,502,270,3016,,,,,,3016,2035,228,2526,,5337,51712,2035,,,,01/01/2021,,,2121943,316160,1862,313515,,1518055,855411,5321,,,,,,,,,
KL,Ernakulam,1046,11,918,,573,1977,1046,8747,,,,,,8747,7647,742,8539,,13018,91762,7647,,,,01/01/2021,,,3279860,602800,3555,583842,,2953482,1759232,17440,,,,,,,,,
KL,Kasaragod,137,,147,,389,1861,137,1156,,,,,,1156,1054,31,1082,,4942,24290,1054,,,,01/01/2021,,,1302600,138815,617,134824,,910194,521754,2347,,,,,,,,,
KL,Kollam,592,,848,,13,215,592,3991,,,,,,3991,4753,161,6283,,7368,62100,4753,,,,01/01/2021,,,2629703,390872,2451,383923,,1951077,1047951,9336,,,,,,,,,
KL,Kottayam,506,5,155,,11,125,506,4644,,,,,,4644,4187,101,1611,,5298,58083,4187,,,,01/01/2021,,,1979384,322484,1356,315759,,1477425,841596,9337,,,,,,,,,
LA,Kargil,,,,,,3,,,,,,,,,4,,,,205,748,4,,,,14-01-2021,,,143000,3619,58,3556,37471,87221,64300,4,,,,,,,,,
LA,Leh,11,,9,,,,11,26,,,,,,26,54,,28,,320,785,54,,,,14-01-2021,,,147000,17343,150,17131,72597,121577,87980,91,,,,,,,,,
LD,Lakshadweep,,,,31,,4,,,,,,,,,,,,1625,69,796,,,,,31-10-2021,,,64473,10365,51,10270,263541,55129,45951,0,,,,,,,: ,,
MH,Aurangabad,27,,,,759,246,27,140,,,,,,140,156,1,157,,46323,34109,156,,,,30-05-2020,,,3695928,155331,4251,150615,11800,1772420,723304,323,,,,,,,,,
MH,Ahmednagar,138,2,11,,535,661,138,2120,,,,,,2120,866,26,728,,44180,28319,866,,,,19-07-2020,,,4543083,339457,7043,330122,11077,2468837,881402,3124,,,,,,,,,
MH,Gadchiroli,,,,,424,255,,4,,,,,,4,2,,5,,14790,10994,2,,,,23-07-2020,,,1071795,30440,669,29735,11993,540319,231208,6,,,,,,,,,
MH,Hingoli,,,,,459,166,,7,,,,,,7,,,3,,42054,16145,,,,,08/03/2020,,,1178973,18475,506,17949,6797,537442,201000,7,,,,,,,,,
MH,Beed,12,,7,,411,473,12,123,,,,,,123,69,5,35,,34333,24584,69,,,,10/11/2020,,,2585962,103749,2806,100803,111488,1145382,485615,204,,,,,,,,,
MH,Bhandara,,,,,7,13,,,,,,,,,,,1,,5080,16415,,,,,10/11/2020,,,1198810,60080,1123,58945,54195,825867,421585,0,,,,,,,,,
MH,Dhule,,,,,121,230,,4,,,,,,4,5,,4,,23261,19364,5,,,,10/11/2020,,,2048781,46172,654,45501,90092,1007007,476051,9,,,,,,,,,
